seed,model,train_loss,val_f1,val_acc,val_auc,val_recall,val_precision,test_f1,test_acc,test_auc,test_recall,test_precision
0,A,4.039797216653824,0.8,0.8333333333333334,0.8333333333333333,0.6666666666666666,1.0,0.6923076923076923,0.7333333333333333,0.7333333333333334,0.6,0.8181818181818182
0,B,3.0856413319706917,0.75,0.6666666666666666,0.6666666666666667,1.0,0.6,0.5789473684210527,0.4666666666666667,0.4666666666666667,0.7333333333333333,0.4782608695652174
1,A,4.576995462179184,0.8571428571428571,0.8333333333333334,0.8333333333333334,1.0,0.75,0.6363636363636364,0.7333333333333333,0.7333333333333334,0.4666666666666667,1.0
1,B,4.749588072299957,1.0,1.0,1.0,1.0,1.0,0.125,0.5333333333333333,0.5333333333333333,0.06666666666666667,1.0
2,A,4.932238012552261,0.6666666666666666,0.5,0.5,1.0,0.5,0.38095238095238093,0.5666666666666667,0.5666666666666667,0.26666666666666666,0.6666666666666666
2,B,3.128582939505577,0.8888888888888888,0.8333333333333334,0.75,1.0,0.8,0.6153846153846154,0.5,0.5,0.8,0.5
3,A,6.083893358707428,0.6666666666666666,0.5,0.5,1.0,0.5,0.6666666666666666,0.5666666666666667,0.5666666666666667,0.8666666666666667,0.5416666666666666
3,B,2.3968730196356773,0.8,0.8333333333333334,0.8333333333333333,0.6666666666666666,1.0,0.7096774193548387,0.7,0.7000000000000001,0.7333333333333333,0.6875
4,A,4.323291093111038,0.8,0.8333333333333334,0.8333333333333333,0.6666666666666666,1.0,0.7333333333333333,0.7333333333333333,0.7333333333333334,0.7333333333333333,0.7333333333333333
4,B,5.3315562307834625,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5882352941176471,0.5333333333333333,0.5333333333333333,0.6666666666666666,0.5263157894736842
5,A,3.8061186373233795,0.8571428571428571,0.8333333333333334,0.8333333333333334,1.0,0.75,0.4,0.6,0.6,0.26666666666666666,0.8
5,B,6.032867908477783,0.8888888888888888,0.8333333333333334,0.75,1.0,0.8,0.5833333333333334,0.6666666666666666,0.6666666666666667,0.4666666666666667,0.7777777777777778
6,A,5.230729401111603,0.8571428571428571,0.8333333333333334,0.8333333333333334,1.0,0.75,0.7692307692307693,0.8,0.7999999999999999,0.6666666666666666,0.9090909090909091
6,B,5.20636123418808,0.6666666666666666,0.5,0.5,1.0,0.5,0.6666666666666666,0.6333333333333333,0.6333333333333333,0.7333333333333333,0.6111111111111112
7,A,3.537750408053398,0.75,0.6666666666666666,0.6666666666666667,1.0,0.6,0.6896551724137931,0.7,0.7000000000000001,0.6666666666666666,0.7142857142857143
7,B,3.7523904591798782,0.8888888888888888,0.8333333333333334,0.75,1.0,0.8,0.2222222222222222,0.5333333333333333,0.5333333333333333,0.13333333333333333,0.6666666666666666
8,A,5.862855672836304,0.6666666666666666,0.5,0.5,1.0,0.5,0.7878787878787878,0.7666666666666667,0.7666666666666668,0.8666666666666667,0.7222222222222222
8,B,4.681472927331924,0.8888888888888888,0.8333333333333334,0.75,1.0,0.8,0.7692307692307693,0.7,0.7,1.0,0.625
9,A,4.921963751316071,0.75,0.6666666666666666,0.6666666666666667,1.0,0.6,0.7878787878787878,0.7666666666666667,0.7666666666666668,0.8666666666666667,0.7222222222222222
9,B,4.856192022562027,0.8888888888888888,0.8333333333333334,0.75,1.0,0.8,0.7058823529411765,0.6666666666666666,0.6666666666666666,0.8,0.631578947368421
10,A,3.0768727734684944,0.8,0.8333333333333334,0.8333333333333333,0.6666666666666666,1.0,0.75,0.7333333333333333,0.7333333333333334,0.8,0.7058823529411765
10,B,4.671773292124271,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666666,0.6666666666666666,0.5,0.4666666666666667,0.4666666666666667,0.5333333333333333,0.47058823529411764
11,A,5.295688033103943,0.75,0.6666666666666666,0.6666666666666667,1.0,0.6,0.5714285714285714,0.7,0.7,0.4,1.0
11,B,5.143343150615692,0.8888888888888888,0.8333333333333334,0.75,1.0,0.8,0.6046511627906976,0.43333333333333335,0.43333333333333335,0.8666666666666667,0.4642857142857143
12,A,4.164604008197784,0.8,0.8333333333333334,0.8333333333333333,0.6666666666666666,1.0,0.6,0.6,0.6,0.6,0.6
12,B,1.8166964873671532,0.8,0.8333333333333334,0.8333333333333333,0.6666666666666666,1.0,0.7567567567567568,0.7,0.7,0.9333333333333333,0.6363636363636364
13,A,3.7725058495998383,0.8571428571428571,0.8333333333333334,0.8333333333333334,1.0,0.75,0.6428571428571429,0.6666666666666666,0.6666666666666667,0.6,0.6923076923076923
13,B,3.2797376066446304,0.8888888888888888,0.8333333333333334,0.75,1.0,0.8,0.625,0.6,0.6,0.6666666666666666,0.5882352941176471
14,A,3.6210415214300156,0.75,0.6666666666666666,0.6666666666666667,1.0,0.6,0.6896551724137931,0.7,0.7000000000000001,0.6666666666666666,0.7142857142857143
14,B,6.054237544536591,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.6086956521739131,0.7,0.7000000000000001,0.4666666666666667,0.875
15,A,2.954725071787834,0.8,0.8333333333333334,0.8333333333333333,0.6666666666666666,1.0,0.625,0.6,0.6,0.6666666666666666,0.5882352941176471
