seed,model,train_loss,val_f1,val_acc,val_auc,val_recall,val_precision,test_f1,test_acc,test_auc,test_recall,test_precision
0,A,2.73831370472908,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0
0,B,2.7044531404972076,0.6666666666666666,0.6666666666666666,0.75,1.0,0.5,1.0,1.0,1.0,1.0,1.0
1,A,2.7568570375442505,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666666,0.6666666666666666
1,B,2.934808522462845,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,0.3333333333333333,0.33333333333333337,0.0,0.0
2,A,3.4688840508461,0.5,0.3333333333333333,0.25,0.5,0.5,0.4,0.5,0.5,0.3333333333333333,0.5
2,B,2.6264004707336426,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.8,0.8333333333333334,0.8333333333333333,0.6666666666666666,1.0
3,A,1.4795861542224884,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0
3,B,3.6194013357162476,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,0.5,0.5,0.0,0.0
4,A,2.993274003267288,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,0.5
4,B,3.0390802919864655,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0
5,A,3.8552275896072388,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0
5,B,1.5046997964382172,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,0.5
6,A,3.2248257994651794,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4
6,B,3.5878533124923706,0.6666666666666666,0.6666666666666666,0.75,0.5,1.0,0.75,0.6666666666666666,0.6666666666666667,1.0,0.6
7,A,2.6010051667690277,0.6666666666666666,0.6666666666666666,0.75,0.5,1.0,0.75,0.6666666666666666,0.6666666666666667,1.0,0.6
7,B,3.5990973711013794,1.0,1.0,0.0,1.0,1.0,0.5714285714285714,0.5,0.5,0.6666666666666666,0.5
8,A,3.420464128255844,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.8,0.8333333333333334,0.8333333333333333,0.6666666666666666,1.0
8,B,1.9664811789989471,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4
9,A,2.694902867078781,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4
9,B,3.4441137313842773,1.0,1.0,0.0,1.0,1.0,0.8,0.8333333333333334,0.8333333333333333,0.6666666666666666,1.0
10,A,3.058975338935852,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666667,1.0,0.6
10,B,2.1610880345106125,0.6666666666666666,0.6666666666666666,0.75,0.5,1.0,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.3333333333333333,0.3333333333333333
11,A,2.0320481657981873,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.8333333333333334,0.8333333333333334,1.0,0.75
11,B,3.4946195483207703,1.0,1.0,0.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0
12,A,3.4551236033439636,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,0.5,0.5,0.0,0.0
12,B,2.5896011292934418,0.5,0.3333333333333333,0.0,0.3333333333333333,1.0,0.8571428571428571,0.8333333333333334,0.8333333333333334,1.0,0.75
13,A,2.4118695706129074,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,0.5
13,B,3.3314960598945618,0.0,0.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4
14,A,2.350804477930069,1.0,1.0,1.0,1.0,1.0,0.4,0.5,0.5,0.3333333333333333,0.5
14,B,3.732832610607147,0.0,1.0,0.0,0.0,0.0,0.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4
15,A,3.74663770198822,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,B,1.3332517445087433,0.8,0.6666666666666666,0.0,0.6666666666666666,1.0,0.0,0.5,0.5,0.0,0.0
16,A,2.245942696928978,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0
16,B,3.464318573474884,1.0,1.0,0.0,1.0,1.0,0.75,0.6666666666666666,0.6666666666666667,1.0,0.6
17,A,3.546858489513397,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666667,1.0,0.6
17,B,3.0218244791030884,0.6666666666666666,0.6666666666666666,0.75,1.0,0.5,1.0,1.0,1.0,1.0,1.0
18,A,2.5197509825229645,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,0.5
18,B,3.612959086894989,1.0,1.0,0.0,1.0,1.0,0.2857142857142857,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.25
19,A,2.258942723274231,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.33333333333333337,0.3333333333333333,0.3333333333333333
19,B,1.3814565911889076,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,0.3333333333333333,0.33333333333333337,0.0,0.0
