seed,model,train_loss,val_f1,val_acc,val_auc,val_recall,val_precision,test_f1,test_acc,test_auc,test_recall,test_precision
0,A,2.5482006072998047,0.8571428571428571,0.8,0.75,1.0,0.75,0.7741935483870968,0.65,0.5625,1.0,0.631578947368421
0,B,1.7221947573125362,0.4,0.4,0.41666666666666663,0.5,0.3333333333333333,0.5263157894736842,0.55,0.5833333333333334,0.4166666666666667,0.7142857142857143
1,A,1.104654535651207,0.8571428571428571,0.8,0.75,1.0,0.75,0.75,0.6,0.5,1.0,0.6
1,B,2.4561229944229126,0.5714285714285714,0.4,0.5,1.0,0.4,0.7333333333333333,0.6,0.5208333333333333,0.9166666666666666,0.6111111111111112
2,A,1.1711358577013016,1.0,1.0,1.0,1.0,1.0,0.64,0.55,0.5208333333333333,0.6666666666666666,0.6153846153846154
2,B,0.9399612843990326,1.0,1.0,1.0,1.0,1.0,0.72,0.65,0.625,0.75,0.6923076923076923
3,A,2.7937305569648743,0.75,0.6,0.5,1.0,0.6,0.6,0.6,0.625,0.5,0.75
3,B,1.8269081190228462,0.6666666666666666,0.8,0.875,1.0,0.5,0.5454545454545454,0.5,0.5,0.5,0.6
4,A,1.900337964296341,0.8571428571428571,0.8,0.75,1.0,0.75,0.5,0.4,0.375,0.5,0.5
4,B,1.4079460352659225,0.8571428571428571,0.8,0.75,1.0,0.75,0.7096774193548387,0.55,0.4583333333333333,0.9166666666666666,0.5789473684210527
5,A,1.6484012007713318,0.8571428571428571,0.8,0.75,1.0,0.75,0.6666666666666666,0.5,0.4166666666666667,0.8333333333333334,0.5555555555555556
5,B,2.258823722600937,0.75,0.6,0.5,1.0,0.6,0.6923076923076923,0.6,0.5625,0.75,0.6428571428571429
6,A,0.49597378075122833,0.6666666666666666,0.6,0.5833333333333333,0.6666666666666666,0.6666666666666666,0.3157894736842105,0.35,0.375,0.25,0.42857142857142855
6,B,2.634416878223419,0.6666666666666666,0.6,0.6666666666666667,1.0,0.5,0.42105263157894735,0.45,0.47916666666666663,0.3333333333333333,0.5714285714285714
7,A,2.082606613636017,0.8571428571428571,0.8,0.75,1.0,0.75,0.6,0.6,0.625,0.5,0.75
7,B,1.6780998408794403,0.6666666666666666,0.6,0.6666666666666667,1.0,0.5,0.4444444444444444,0.5,0.5416666666666666,0.3333333333333333,0.6666666666666666
