seed,model,train_loss,val_f1,val_acc,val_auc,val_recall,val_precision,test_f1,test_acc,test_auc,test_recall,test_precision
0,A,2.743573859333992,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.8888888888888888,0.8333333333333334,0.75,1.0,0.8
0,B,2.7988933324813843,0.6666666666666666,0.6666666666666666,0.75,1.0,0.5,0.5714285714285714,0.5,0.5,0.5,0.6666666666666666
1,A,2.2092675492167473,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.375,0.75,0.6
1,B,2.118366539478302,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,0.3333333333333333,0.5,0.0,0.0
2,A,3.780724585056305,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,0.3333333333333333,0.5,0.0,0.0
2,B,3.5405454337596893,1.0,1.0,0.0,1.0,1.0,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666
3,A,3.6549201011657715,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.6666666666666666,0.5,0.375,0.75,0.6
3,B,2.2152627259492874,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.75,0.5,1.0
4,A,3.6332789063453674,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5714285714285714,0.5,0.5,0.5,0.6666666666666666
4,B,3.1760594248771667,1.0,1.0,0.0,1.0,1.0,0.75,0.6666666666666666,0.625,0.75,0.75
5,A,2.394908845424652,1.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.5,0.0,0.0
5,B,2.546990379691124,1.0,1.0,1.0,1.0,1.0,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666
6,A,3.402814269065857,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.75,0.6666666666666666,0.625,0.75,0.75
6,B,3.6125470399856567,0.0,0.0,0.0,0.0,0.0,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666
7,A,3.469943940639496,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.4,0.5,0.625,0.25,1.0
7,B,1.0723781436681747,1.0,1.0,0.0,1.0,1.0,0.6666666666666666,0.5,0.375,0.75,0.6
8,A,2.3731948733329773,1.0,1.0,1.0,1.0,1.0,0.5714285714285714,0.5,0.5,0.5,0.6666666666666666
8,B,4.01259446144104,1.0,1.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.5,0.0,0.0
9,A,1.1352476254105568,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.25,0.5,0.5
9,B,3.4006972312927246,1.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.375,0.25,0.5
10,A,2.4945241808891296,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,0.3333333333333333,0.25,0.5,0.5
10,B,2.8954930007457733,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.375,0.25,0.5
11,A,2.971591591835022,1.0,1.0,1.0,1.0,1.0,0.4,0.5,0.625,0.25,1.0
11,B,2.7524854838848114,1.0,1.0,0.0,1.0,1.0,0.75,0.6666666666666666,0.625,0.75,0.75
12,A,0.9189342297613621,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5714285714285714,0.5,0.5,0.5,0.6666666666666666
12,B,2.427348181605339,1.0,1.0,0.0,1.0,1.0,0.6666666666666666,0.5,0.375,0.75,0.6
13,A,1.3817314356565475,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.75,0.6666666666666666,0.625,0.75,0.75
13,B,3.3639328479766846,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,0.3333333333333333,0.5,0.0,0.0
14,A,3.623167037963867,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
14,B,3.3031213581562042,0.0,0.3333333333333333,0.5,0.0,0.0,0.4,0.5,0.625,0.25,1.0
15,A,2.828293561935425,1.0,1.0,1.0,1.0,1.0,0.4,0.5,0.625,0.25,1.0
15,B,0.8289203196763992,1.0,1.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.5,0.0,0.0
16,A,3.5465710759162903,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666
16,B,1.4156933426856995,1.0,1.0,1.0,1.0,1.0,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666
17,A,2.903164327144623,1.0,1.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.5,0.0,0.0
17,B,3.552778899669647,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.8333333333333334,0.75,1.0,0.8
18,A,1.717538759112358,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.75,0.5,1.0
18,B,3.172659456729889,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.5,1.0
19,A,3.0804408490657806,0.8,0.6666666666666666,0.5,1.0,0.6666666666666666,0.0,0.3333333333333333,0.5,0.0,0.0
19,B,2.8556748032569885,1.0,1.0,1.0,1.0,1.0,0.5714285714285714,0.5,0.5,0.5,0.6666666666666666
