epoch,recon_loss,gen_loss,disc_loss,val_recon_loss
0,0.048011773073946246,,,
1,0.02877895792344296,,,
2,0.02698942809661912,,,
3,0.026381928250951925,,,
4,0.025388631723233458,,,
5,0.02397483294597488,,,
6,0.02324762248905712,,,
7,0.022865143538222818,,,
8,0.022951140483182503,,,
9,0.022147250037081064,,,0.05793855305250526
10,0.02196696441165591,,,
11,0.0222956340063278,0.3339852717238225,0.29182689843590326,
12,0.023465668050330558,0.3471294708986015,0.2482671338410778,
13,0.02429975579438243,0.36256825398303016,0.2421465437982525,
14,0.024714691140250548,0.35488019044494434,0.24016524044649898,
15,0.024551742089291412,0.34980435372370533,0.23756606118521315,
16,0.02473996941749073,0.3441563011230024,0.23556081861560885,
17,0.02471092966107922,0.35125353711754387,0.23534552881887547,
18,0.024662171454943774,0.34247703120496326,0.23239729746834922,
19,0.024772930648604422,0.3460948692099132,0.2319213836133935,0.06722440135660511
20,0.02467227909173674,0.3463400959762396,0.22964128738141243,
21,0.02464545430715075,0.3478132658033767,0.230762632331472,
22,0.024645810506043545,0.34723327584261354,0.22891310075388002,
23,0.02464625026329252,0.34760725143443766,0.2293777047791554,
24,0.024741487416412692,0.33980704930494837,0.23045215078892597,
25,0.0245428561723528,0.3378433517249107,0.2300360918841289,
26,0.024808503410117772,0.3325932090260733,0.23046360603763555,
27,0.024415263259171986,0.3381007539686621,0.2295356930705124,
28,0.024503877580772528,0.33603442224031715,0.23046199975502096,
29,0.024416614954215272,0.34215104358114357,0.2284902802007344,0.05896740964599672
30,0.024283970665878618,0.3299020380824425,0.22967291037544948,
31,0.024394693511891306,0.332299183087267,0.2307311970238164,
32,0.02465944654016777,0.32993746304567,0.23106501164251309,
33,0.024225272122135447,0.3355875366270239,0.23047190557681876,
34,0.024232698004910812,0.33298012236033686,0.23026974226227243,
35,0.024271803940042056,0.32852956957868645,0.23208746448652132,
36,0.024167405059869203,0.3252136302073948,0.23067058311922253,
37,0.02420208682294262,0.32468090894094104,0.2308932640435738,
38,0.024159762150496623,0.32889370711724114,0.23038634519464793,
39,0.024056610959385338,0.3328156714012453,0.23023711317443968,0.05912447777496377
40,0.024118037548380652,0.3325698884824912,0.23046158104376635,
41,0.024147826782486972,0.32548830060065553,0.23156543663743193,
42,0.023963364843591933,0.32976257822739374,0.23115831714019217,
43,0.024097635609787383,0.32849251966610665,0.23056592631127695,
44,0.023934038303811436,0.3281501483873632,0.23078105503897023,
45,0.023824412392276995,0.32628391384746663,0.22987263920804624,
46,0.02401385493529131,0.32361142556763633,0.23132283432034742,
47,0.023884860180204606,0.3317074416010965,0.22937309237685216,
48,0.02386501342835469,0.3282573728587564,0.23062186472061028,
49,0.02395320925435037,0.32946076870211055,0.2298935974448085,0.06215900630893441
50,0.023832126814426507,0.3263658855119886,0.23060011389752988,
51,0.023874395050620306,0.32882833523490956,0.22938318040610572,
52,0.023839914519576778,0.33000562823218776,0.22958324851501383,
53,0.02386616701473489,0.3239097089551711,0.23033693112414,
54,0.02359773864396125,0.32522637261973536,0.2305013264218966,
55,0.023648627803829182,0.32422082964093935,0.23160219810542867,
56,0.023713419827663413,0.32339792045985016,0.2306228268123765,
57,0.023686408093696786,0.3280291676843591,0.23038370239977315,
58,0.0236033474571491,0.32190595981463527,0.2317026763794228,
59,0.023563234708994702,0.3236850718031554,0.23071625733951878,0.059011422286783986
60,0.023485791784149546,0.3180372741632638,0.23152584698212358,
61,0.02369184578524822,0.3239934496373014,0.23105936237722255,
62,0.023497742716858103,0.32875528806967436,0.2290460717018324,
63,0.023565408289100757,0.3179743507113924,0.23182814634634946,
64,0.02367259348972532,0.3223758342536048,0.23099629345892647,
65,0.023549715376935388,0.3236409712620743,0.2306939731269089,
66,0.023394962668456802,0.3200282074236157,0.23102216854805255,
67,0.023479689199373165,0.3208592146180058,0.23103520657118343,
68,0.023566462234629475,0.32068198735401526,0.23156333976347027,
69,0.02341238743893366,0.3243641480993072,0.23032325056900504,0.05695041318230217
70,0.02354642848837315,0.32267658725741105,0.23016948158125233,
71,0.023328038527329308,0.32257547165070477,0.23085901571518289,
72,0.023325980742848255,0.3204270147791952,0.2310816252807928,
73,0.023294860795709013,0.32328065611308315,0.23012106425813744,
74,0.02336726412793228,0.32684311465983473,0.2295281797382061,
75,0.02332006715967986,0.3207980095771433,0.22996604941197632,
76,0.023388186694802977,0.3196935563729768,0.23080073670500714,
77,0.023366011745526286,0.3245054678446388,0.22990897749064837,
78,0.023341380057349308,0.322217900960045,0.22998942273642878,
79,0.023451554074731797,0.3229093106307146,0.23050467182737575,0.055619470869677924
80,0.023289577509383208,0.3230444967993191,0.2298572719400469,
81,0.0233226961458609,0.32503994744337394,0.2291868749541484,
82,0.02332047958628443,0.3221804172786441,0.23073962749794846,
83,0.023279215275539847,0.3193730384670672,0.22997640145340645,
84,0.023121360547214975,0.33019477314773105,0.22848327211447952,
85,0.02328631638978198,0.3197833551449403,0.22974987659821378,
86,0.023230190677971177,0.3277328855929181,0.22824118074039162,
87,0.02341924936441899,0.3268451717310128,0.22845042330087292,
88,0.02332285580488334,0.32461580652127436,0.22863383949485444,
89,0.02327149450001674,0.3252884467101582,0.2291982482559505,0.054084361753034105
90,0.023218629073645473,0.32808029375325787,0.22778137100258553,
91,0.023380057611348672,0.33059001108276026,0.22707644684131212,
92,0.023301890546470198,0.3272987226920046,0.22790053979737765,
93,0.023348298876453902,0.32988892443497064,0.22815551290302785,
94,0.0231997664050974,0.33072232429895543,0.22684811330554444,
95,0.0232261706821374,0.3336685219774871,0.22693843745244974,
96,0.023316238115780985,0.3299329799644971,0.22639390771246443,
97,0.023143819876906224,0.3306903738537969,0.22698160968057376,
98,0.0232458195504531,0.3298445645975703,0.22674736431764284,
99,0.023198461553446816,0.3310878281185342,0.22707424341267302,0.05489041985291515
